X,Y,Z,cluster
-997.497,127.171,-613.391,0
617.481,170.019,-40.2538,1
-299.417,791.925,645.68,2
493.21,-651.784,717.887,1
421.003,27.0699,-392.01,1
-970.031,-817.194,-271.096,0
-705.374,-668.203,977.05,2
-108.615,-761.834,-990.661,0
-982.177,-244.24,63.3259,2
142.369,203.528,214.332,1
-667.531,326.09,-98.4221,0
-295.755,-885.922,215.369,2
566.637,605.213,39.7656,1
-396.1,751.946,453.353,2
911.802,851.436,78.7073,1
-715.323,-75.8384,-529.344,0
724.479,-580.798,559.313,1
687.307,993.591,999.39,1
222.999,-215.125,-467.574,1
-405.438,680.288,-952.513,0
-248.268,-814.753,354.411,2
-887.57,-982.421,837.581,2
-448.225,-454.207,175.817,2
382.366,675.222,452.986,1
-30.1217,-589.282,487.472,2
-63.0817,-84.0784,898.312,2
488.876,-783.441,198.096,1
-229.53,470.016,217.933,2
144.81,-277.322,-696.89,0
-549.791,-149.693,605.762,2
34.2113,979.98,503.098,2
-308.878,-662.038,314.615,2
-16.2053,-872.921,399.518,2
9.6134,-705.008,899.167,2
-716.849,810.236,385.785,2
-393.902,-146.886,-859.249,0
933.226,366.375,-693.533,1
754.509,643.361,164.098,1
-617.298,-644.215,634.388,2
-49.4705,-688.894,7.84332,2
464.034,-188.818,-440.84,1
137.486,364.483,511.704,2
443.831,-49.4094,-753.96,1
-264.382,669.363,-929.807,0
34.0282,325.968,-147.557,0
-790.643,898.679,842.769,2
99.0936,-308.023,-56.5507,1
-250.038,693.96,-366.253,0
-87.8017,-456.221,965.941,2
-404.401,478.378,134.556,2
-608.02,522.63,678.884,2
-204.688,1.80066,780.328,2
-945.067,989.258,145.177,2
-898.984,62.6545,-611.866,0
686.087,253.517,315.226,1
-604.297,684.317,-753.349,0
-780.145,486.251,-371.868,0
882.138,-427.839,-327.372,1
-719.474,466.17,669.24,2
415.998,200.476,494.43,1
-494.552,-711.051,-996.765,0
-877.987,612.476,705.252,2
-578.845,-768.792,106.418,2
-971.496,-772.454,-90.9756,0
504.441,372.295,86.8862,1
-852.229,-126.56,-596.118,0
392.438,-419.294,-126.621,1
-535.142,155.736,65.1571,2
257.363,-679.617,8.27057,1
926.084,391.522,849.605,1
-620.106,-328.104,-643.3,0
990.356,-85.1161,996.033,1
-804.987,250.343,-811.213,0
-124.546,863.033,-903.134,0
789.239,-419.965,-545.396,1
538.133,-178.564,-596.057,1
256.142,208.289,-96.7742,1
-67.2933,195.654,269.448,2
709.586,657.582,249.55,1
441.817,131.504,-249.733,1
-631.458,475.814,110.263,2
810.175,-514.267,-622.12,1
209.449,397.015,169.225,1
-297.403,-11.0782,-839.229,0
481.491,224.098,240.761,1
382.244,609.058,-701.773,1
152.074,735.466,823.115,2
229.408,455.367,-913.572,0
335.551,953.063,-369.976,1
138.401,-388.348,-652.15,0
-782.891,738.09,702.445,2
488.632,-690.237,-346.171,1
-841.304,-846.797,281.961,2
640.004,90.1823,-103.488,1
-182.043,-402.509,-68.8802,0
